From,To
Phoebe,Stu
Mischa,Monica
Tommy,Ross
Dr. Harad,Rachel
Monica,Colleen
Melanie,Joey
Fun Bobby,Chandler
Chandler,Chloe
Joey,Paolo
Ugly Naked Guy,Phoebe
Monica,Erica
Monica,Jen
Erin,Joey
Monica,Cousin Frannie
Tom,Tommy
Joey,Dan
Fun Bobby,Bob
Sergei,Don
Jake,Phoebe
Rachel,Mr. Waltham
Sandy,Joey
Russ,Ross
Chandler,Wendy
Rachel,Mary
Roger,Phoebe
Monica,Gunther
Dr. Harad,Chandler
Stephanie,Phoebe
Chandler,Brenda
Dina,Bob
Duncan,Phoebe
Larry,Phoebe
The Doctor,Rachel
Rachel,Dave
Rachel,Dr. Long
Ross,Phoebe
Joanne,Monica
Mr. Zelner,Rachel
Mona,Ross
Joey,Katie
Bill,Ross
Gavin,Rachel
Doug,Mr. Douglas
Paolo,Ross
Ralph Lauren,Rachel
Rachel,Kiki
Wayne,Dan
Gunther,Rachel
Hillary,Ross
Joey,Josh
Chandler,Bill
Brenda,Monica
Rachel,Joanna
Wayne,Tom
Monica,Phoebe
Marcel,Joey
Chloe,Rachel
Chandler,Tony
Ryan,Rachel
Fake Monica,Rachel
Cassie,Ross
Joey,Rachel
Monica,Aunt Lillian
Monica,Wayne
Jessica Lockhart,Stu
Donny Osmond,Don
Dr. Roger,Phoebe
Monica,Ethan
Monica,Bob
Chandler,Danny
Monica,Joey
Chandler,Ralph Lauren
Monica,Roger
Jasmine,Ross
Molly,Ross
Gunther,Joey
Joey,Julie
Tom,Mary
Chandler,Ross
Max,Phoebe
Bonnie,Phoebe
Tim,Monica
Eric,Phoebe
Erin,Rachel
Dr. Roger,Roger
Sarah,Phoebe
Rachel,Caitlin
Lauren,Rachel
Cailin,Rachel
Estelle Leonard,Joey
Howard,Phoebe
Doug,Kara
Chloe,Joey
Joey,Aunt Lillian
Julie,Ross
Tim,Ross
Joey,Peter
Joey,Bob
Ginger,Joey
Kim,Ralph Lauren
Phoebe,Laura
Monica,Michelle
Ross,Nurse
Dina,Rachel
Aurora,Joey
Fun Bobby,Monica
Sarah,Joey
Aunt Lillian,Ross
Chandler,Russ
Kathy,Joey
Ross,Howard
Roger,Rachel
Kim,Nancy
Joey,Molly
Allesandro,Joey
Russell,Ross
Dr. Harad,Monica
Cailin,Joey
Chandler,Joanna
Mischa,Phoebe
Chandler,Paolo
Monica,Nurse
Rachel,Felicity
Ross,Rachel
Chandler,Dan
Terry,Joey
Rachel,Nancy
Chandler,Ginger
Rachel,Phoebe
Chandler,Robert
Monica,Allesandro
Gary,Phoebe
Chandler,Laura
Chandler,Doug
Russ,Phoebe
Chandler,Tom
Joey,Tommy
Wayne,Joey
Cousin Frannie,Ross
Mona,Rachel
Joey,Charlton Heston
Monica,Eric
Monica,Ugly Naked Guy
Bob,Phoebe
Rachel,Aunt Lillian
Erica,Joey
Joey,Stu
Don,Laura
Chandler,Colleen
Russell,Russ
Eric,Erica
Monica,Rachel
Joey,Donny Osmond
Michael,Rachel
Ethan,Rachel
Chandler,Kathy
Jen,Ross
Mr. Treeger,Rachel
Chandler,Erica
Ross,Mr. Waltham
Chandler,Jen
Bill,Phoebe
Dr. Franzblau,Rachel
David,Max
Jason,Phoebe
Cailin,Tommy
Paolo,Phoebe
Trudie Styler,Phoebe
Monica,Julie
The Doctor,Ross
Rachel,Paolo
Chandler,Gunther
Chandler,Josh
Rachel,Dan
Mona,Joey
Elizabeth Hornswoggle,Ross
Ross,Dr. Long
Ross,Dr. Ledbetter
Chandler,Ms. McKenna
Paolo,Aunt Lillian
Monica,Marcel
Chandler,Guru Saj
Chandler,Kim
Chandler,Eric
Monica,Don
Chandler,Sarah
Mr. Treeger,Chandler
Bonnie,Rachel
Ralph Lauren,Ross
Guru Saj,Ross
Dina,Stu
Phoebe,Wayne
Cassie,Phoebe
Tom,Ross
Mr. Treeger,Joey
Joey,Marjorie
Joanne,Kiki
Alan,Ross
Fake Monica,Monica
Jasmine,Phoebe
Lydia,Joey
Chandler,Julie
Chandler,Nancy
Professor Spafford,Ross
Chandler,Phoebe
Rachel,Nurse
Joey,Mr. Waltham
Mary,Ross
Monica,Chloe
Phoebe,Dan
Terry,Rachel
Joey,Mary
Bill,Colleen
The Dry Cleaner,Phoebe
Robert,Ross
Chandler,Don
Eric,Joey
Kim,Rachel
Chandler,Aunt Lillian
