From,To
Chandler,Cookie
Joey,Ross
Monica,Rachel
Rachel,Monica
Monica,Joey
Ross,Paul the Wine Guy
Joey,Paul the Wine Guy
Ross,Rachel
Joey,Don
Chandler,Ross
Joey,Cookie
Joey,Doug
Rachel,Joanne
Monica,Tony
Frannie,Monica
Frannie,Paul the Wine Guy
Rachel,David
Ross,Monica
Ross,Marsha
Phoebe,Monica
Monica,Ross
Chandler,Ugly Naked Guy
Chandler,Dina
Chandler,Monica
Monica,Chandler
Carol,Ross
Susan,Ross
Carol,Dr. Oberman
Ross,Dr. Oberman
Susan,Minnie
Chandler,Don
Joey,Phoebe
Rachel,Chandler
Rachel,Alan
Monica,Alan
All,Alan
Ross,Alan
Chandler,David
Joey,Alan
Chandler,Alan
Chandler,Joey
Ross,Don
Rachel,Joey
Monica,Phoebe
Ross,Chandler
All,Joey
Ross,Joey
Monica,George Stephanopoulos
Phoebe,Jason
Monica,Jason
Chandler,Rachel
Phoebe,Tony
Ross,Tony
Angela,Joey
Rachel,Don
Angela,Bob
Joey,Bob
Joey,Monica
Monica,Ugly Naked Guy
Monica,Bob
Bob,Monica
Rachel,Ross
Phoebe,Chandler
Aurora,Chandler
Joey,Estelle Leonard
Aurora,Rick
Joey,Rick
Chandler,Rick
Chandler,Hope
Aurora,Don
Aurora,Ethan
Chandler,Ethan
Phoebe,Ross
Chandler,Aurora
Phoebe,Joey
Rachel,Phoebe
Joey,Chandler
Phoebe,Rachel
Joey,Rachel
Rachel,Bob
Rachel,Paolo
Rachel,Paolo's cat
Phoebe,Paolo
Ross,Paolo
Jill,Chandler
Monica,Paolo
All,Ross
Rachel,Terry
Terry,Rachel
Susan,Bob
Phoebe,Ugly Naked Guy
Joey,Ugly Naked Guy
Monica,Dan
Ross,Marcel
Chandler,Paolo
Chandler,Dick Clark
Phoebe,David
Chandler,Bob
Chandler,Fun Bobby
Joey,Fun Bobby
Max,Phoebe
Phoebe,Max
Max,David
Max,Russ
David,Max
Joey,Sandy
Janice,Ross
Monica,Fun Bobby
Janice,Chandler
Chandler,Max
Joey,Gloria Tribbiani
Ross,Phoebe
Rachel,Dan
Rachel,Danielle
Carol,Don
Chandler,Kip
Joey,Kip
Chandler,Phoebe
Joey,Paolo
Monica,Don
Phoebe,Roger
Ronni,Joey
Ronni,Chandler
Monica,Roger
Joey,Tina
Lorraine,Joey
Rachel,Roger
Monica,Howard
Chandler,Roy
Janice,Monica
Janice,Joey
Ross,Carol Willick
Janice,Don
Woman,Chandler
Chandler,Mrs. Tedlock
Chandler,Robert
Joey,Tony
Ross,Celia
Monica,Wendy
Steve,Monica
Monica,Aunt Iris
Chandler,Marcel
Monica,Mr. Heckles
Phoebe,Mr. Heckles
Rachel,Marcel
Luisa,Marcel
Luisa,Rachel
Luisa,Luisa Gianetti
Joey,Marcel
Phoebe,Marcel
Monica,Marcel
Mindy,Barry Farber
Chandler,Dan
Chandler,Danielle
Woman,Monica
Rachel,Mona
Joey,Russ
Rachel,Ethan
Joey,Ethan
Phoebe,Don
Monica,Ethan
Chandler,Kara
Ross,Dr. Franzblau
Rachel,Dr. Franzblau
Lydia,Joey
Carol,Jamie
Joey,Lydia
Monica,Melanie
Rachel,Melanie
Melanie,Joey
Man,Rachel
Ross,Julie
Julie,Ross
Rachel,Julie
Monica,Mary
Julie,Rachel
Annabelle,Joey
Monica,Julie
All,Phoebe
Malcom,Phoebe
Rachel,Gunther
Chandler,Kim
Chandler,Parker
Chandler,Peter
Frank,Larry
Frank,Tim
Frank,Monica
Frank,Rachel
Phoebe,Jasmine
Chandler,Eric
Ross,Stu
Monica,Joanne
Ross,Gunther
Phoebe,Nick
Phoebe,Mary
Ben,Monica
Chandler,Gary
Gunther,Rachel
Margha,Chandler
Ross,Sarah
Leader,Ross
Leader,Sarah
Monica,Gunther
Joey,Mary
Ross,Mary
Chandler,Mary
Mark,Rachel
Mark,Joanna
Chandler,Albert
Mark,Ross
Rachel,Joanna
Ross,Joanna
Director,Joey
Quartet,Ross
Monica,Tom
Phoebe,Robert
Richard,Tom
Joey,Robert
Rachel,Danny
Singer,Phoebe
Phoebe,Leslie
Leslie,Phoebe
Woman,Ginger
Chandler,Ginger
Ginger,Don
Ginger,Joey
Monica,Ginger
Joey,Ginger
Chandler,Chloe
Issac,Chloe
Phoebe,Sergei
Monica,Larry
Ross,Chloe
Phoebe,Mischa
Issac,Rachel
Ross,Jasmine
Jasmine,Phoebe
Chandler,Shelly
Secretary,Monica
Alice,Phoebe
Kate,Kate Miller
Kate,Jen
Spokeswoman,Peter
Ross,Silvia
Rachel,Sophie
Joanna,Rachel
Joanna,Sophie
Joanna,Chandler
Joanna,Don
Joey,Lauren
Joey,Marsha
Kate,Lauren
Rachel,Tom
Rachel,Tommy
Estelle,Joey
Ross,Tom
Ross,Tommy
Cailin,Ross
Kate,Joey
Phoebe,Vince
Joey,Vince
Pete,Monica
Pete,Rachel
Fireman,Vince
Jason,Phoebe
Vince,Phoebe
Robin,Tim
Phoebe,Bonnie
Rachel,Bonnie
Pete,Don
Chandler,Doug
Doug,Don
Phoebe,Tom
Joey,Bonnie
Phoebe,Bob
Bonnie,Chandler
Bonnie,Joey
Bonnie,Rachel
Ross,Bonnie
Monica,Chip Matthews
Chip,Monica
Joey,Stu
Rachel,Mr. Treeger
Ross,Maria
Chandler,Maria
Phoebe,Rick
Chandler,Kathy
Kathy,Joey
Monica,Kathy
