Speaker,About,Sentence
Chandler,Cookie,Cookie?
Joey,Ross,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
Monica,Rachel,Rachel?!
Rachel,Monica,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
Rachel,Monica,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica. "
Monica,Joey,"Joey, stop hitting on her! It's her wedding day!"
Ross,Paul the Wine Guy,"Paul the Wine Guy, Paul?"
Joey,Paul the Wine Guy,Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
Ross,Rachel,"So Rachel, what're you, uh... what're you up to tonight?"
Joey,Don,Done with the bookcase!
Joey,Ross,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV"
Chandler,Ross,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. "
Joey,Cookie,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Joey,Doug,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Joey,Ross,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Rachel,Joanne,Oh...see... but Joanne loved Chachi! That's the difference!
Monica,Tony,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
Frannie,Monica,"Hey, Monica! "
Frannie,Paul the Wine Guy,"Paul the Wine Guy? Oh yeah, I know Paul. "
Rachel,David,"You would be too if you found John and David boots on sale, fifty percent off! "
Ross,Monica,You did! Oh.... I always figured you just thought I was Monica's geeky older brother. 
Ross,Marsha,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See? "
Phoebe,Monica,"She's already fluffed that pillow... Monica, you know, you've already fluffed that"
Phoebe,Monica,Monica
Joey,Ross,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come. "
Monica,Ross,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. "
Chandler,Ugly Naked Guy,Ugly Naked Guy got a Thighmaster! 
Chandler,Dina,...Dinah? 
Chandler,Monica,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne... "
Monica,Ross,"Ross, could you come and help me with the spaghetti, please? "
Monica,Chandler,"Chandler, you're an only child, right? You don't have any of this. "
Carol,Ross,"Ross, you remember Susan. "
Susan,Ross,Ross. 
Carol,Dr. Oberman,Dr. Oberman. 
Ross,Dr. Oberman,..Dr. Oberman. Okay. And is he
Carol,Ross,Ross? That opens my cervix. 
Susan,Minnie,We agreed on Minnie. 
Carol,Ross,Ross. You're not actually suggesting Helen Willick
Monica,Ross,"Uh, Ross. "
Chandler,Don,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete. "
Joey,Phoebe,"Y'okay, Phoebe? "
Rachel,Chandler,"Chandler, what are you doing? "
Rachel,Alan,This Alan again? How's it goin'? 
Joey,Ross,"Let it go, Ross. "
Monica,Alan,"Hi. Alan, this is everybody. Everybody, this is Alan. "
All,Alan,"Hi, Alan. "
Ross,Alan,...So I think Alan will become the yardstick against which all future boyfriends will be measured. 
Chandler,David,"Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right? "
Joey,Alan,Alan. 
Monica,Alan,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes.. 
Monica,Alan,"..I dunno, a little too Alan? "
Rachel,Alan,"Well, no. That's impossible. You can never be too Alan. "
Ross,Alan,"Yeah, it's his, uh, innate Alan"
Chandler,Alan,I personally could have a gallon of Alan. 
Chandler,Joey,So I have a flaw! Big deal! Like Joey's constant knuckle
Joey,Phoebe,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair? "
Ross,Don,Don't you realise what you're
Chandler,Joey,"Joey ate my last stick of gum, so I killed him. Do you think that was wrong? "
Rachel,Joey,"Uh, Joey.. "
Monica,Alan,I'll meet somone else. There'll be other Alans. 
Monica,Phoebe,Alright. Phoebe? 
Ross,Chandler,"Yeah, see.. you took mine. Chandler, what about you? "
All,Joey,"Hey Joey. Hi. Hey, buddy. "
Monica,Joey,"Hey, Joey, what would you do if you were omnipotent? "
Ross,Joey,"Joey, uh"
Monica,Rachel,"Well, if you want, you can stay with Rachel and me tonight. "
Joey,Ross,"C'mon, Ross! "
Monica,Phoebe,"We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing. We got some trashy magazines, we got cookie dough, we got "
Rachel,Monica,"Monica, what is so amazing? I gave up, like, everything. And for what? "
