,Name,Sentiment,No_of_Lines,Gender
0,Aaron Goralnik,,0.0,male
1,Al Zebooker,,0.0,male
2,Alan,,7.0,male
3,Alan Lewis,0.0705,0.0,male
4,Albert,,0.0,male
5,Alice Knight,0.0848651162790697,0.0,female
6,Allesandro,0.1092647696476964,11.0,unknown
7,Althea,,0.0,female
8,Althea's husband,,0.0,male
9,Amanda (Monica And Chandler's wedding),,0.0,female
10,Amanda (Ross' date),,0.0,female
11,Amanda Buffamonteezi,,0.0,female
12,Amy Greene,,0.0,female
13,Amy Welsh,,0.0,female
14,Andrea Waltham,,0.0,female
15,Andrew,,0.0,male
16,Angela Delveccio,0.1929777777777778,0.0,female
17,Anita Altman,,0.0,female
18,Annabel,,0.0,female
19,Arthur,,0.0,male
20,Ashley Tribbiani,,0.0,female
21,Aunt Cheryl,,0.0,female
22,Aunt Iris,,0.0,female
23,Aunt Liddy,,0.0,female
24,Aunt Lillian,,0.0,female
25,Aunt Lisa,,0.0,female
26,Aunt Millie,,0.0,female
27,Aunt Phylis,,0.0,female
28,Aunt Sylvia,,0.0,female
29,Aurora,0.1262266666666666,30.0,female
30,Barbara Burke,,0.0,female
31,Barry Farber,0.133872,0.0,male
32,Ben Geller,0.0105880597014925,0.0,male
33,Benjamin Hobart,0.0105880597014925,0.0,male
34,Bill,,8.0,male
35,Bitsy Hannigan,0.1530238095238095,0.0,unknown
36,Bob,0.0417454545454545,22.0,male
37,Bob (Chandler's coworker),0.0417454545454545,0.0,male
38,Bob (rat),0.0417454545454545,0.0,male
39,Bobby Corso,0.0417454545454545,0.0,male
40,Bobby Rush,0.0417454545454545,0.0,male
41,Bonnie,0.1643945945945946,37.0,female
42,Brenda,0.1032687499999999,16.0,female
43,Brown Bird Troop Leader,,0.0,unknown
44,Bruce Buffer,,0.0,male
45,Buddy Doyle,,0.0,male
46,Michelle Burke,,0.0,female
47,Cailin,,6.0,female
48,Cailin Praytor,,0.0,female
49,Caitlin,0.0253096774193548,31.0,female
50,Carl (actor),,0.0,male
51,Carl (bully),,0.0,male
52,Carl (Rachel's date),,0.0,male
53,Carlos,,0.0,male
54,Carol Willick,0.093503448275862,0.0,female
55,Caroline Duffy,0.093503448275862,0.0,male
56,Cassie,0.137325,20.0,female
57,Catherine,,9.0,female
58,Cathy,,0.0,female
59,Cecilia Monroe,0.1048564516129032,0.0,male
60,Celia,,8.0,female
61,Chandler,0.0887521264724117,8151.0,male
62,Chandler Buffay,,0.0,male
63,Chappy,,0.0,unknown
64,Charla Nichols,,0.0,female
65,Charles Bing,,0.0,male
66,Charlie Wheeler,0.1233497584541062,0.0,male
67,Charlton Heston,,0.0,unknown
68,Cheryl,,0.0,female
69,Chi-Chi,,0.0,unknown
70,Chick Jr. & Duck Jr.,,0.0,unknown
